run,  run_length, dqm_ctag_inst, subruns, nearline_ctag_total
26064 0.0567824073369 415.380812148 495 32569657.0082
26065 0.055868055555 462.331515198 495 34061208.9231
26066 0.0553009259747 499.73875 495 34904140.4717
26067 0.053645833279 497.819480519 481 33454679.7907
26071 0.0570023148321 394.814012195 495 29315312.6538
26072 0.060300925863 403.96908046 495 28614600.6164
26073 0.0590046296129 458.882352941 495 32250004.6154
26074 0.0225925926352 442.878787879 185 11458493.7255
26078 0.061921296292 346.320553831 495 26665664.4175
26079 0.00759259250481 360.209090909 61 3195242.35556
26081 0.0204282407649 382.577931034 162 10079370.0
26082 0.0582638888154 464.613095238 495 31673322.8804
26083 0.0575347221456 369.891306829 495 28357532.8022
26084 0.0554282407975 493.95875 495 34894485.0
26085 0.0555787036428 486.138 495 34583753.3684
26086 0.0554976852145 493.26 495 34445833.8889
26087 0.0555208333535 493.34 495 34228596.055
26088 0.0585763888666 414.822 494 30064528.3095
26089 0.0326851852005 428.046808511 264 20388673.2343
26090 0.0615509259515 424.571224719 494 83378123.6382
26092 0.0221064814832 420.7371875 178 28561733.0634
26095 0.0497337962734 434.461111111 402 55905963.9971
26097 0.0315393519122 432.589130435 254 41516810.0664
26098 0.00590277777519 429.655555556 48 8517741.12
26099 0.0603587962687 450.216091954 495 68409618.4719
26100 0.0601851851679 452.552534884 495 88845820.8
26139 0.0612615740392 446.515909091 495 34104393.3798
26140 0.0168634258443 439.358333333 136 8977189.54667
26142 0.0627893519122 367.867511111 494 27248289.12
26144 0.0615509259515 433.460227273 494 30710151.955
26147 0.0265740740579 446.594736842 214 13025755.1127
26148 0.0265625000466 436.876315789 214 14120516.2006
26149 0.0492129629711 442.412676056 397 27055072.5501
26150 0.0616782407742 423.204022472 495 32801139.2269
26153 0.0487615740858 416.257871429 391 26483516.3649
26154 0.0612500000279 448.361363636 495 37374074.2112
26155 0.0610995370662 455.811363636 495 36579679.3241
26156 0.0158796296455 378.329565217 126 9193359.69391
26159 0.0498032408068 391.004280366 421 15722378.0171
26160 0.0354282407789 396.101960784 282 16599499.3694
26165 0.0528240740532 360.474605263 413 23186127.3488
26166 0.0632060185308 365.117472527 495 27153672.1811
26167 0.0455092593329 356.937878788 358 18852029.6942
26168 0.0615046296734 376.144738636 495 20851466.625
26169 0.0187500000466 307.003703704 152 6504346.0
26170 0.0590856481576 463.095294118 494 33116248.9412
26171 0.0620486111147 406.014344444 495 28711164.0659
26172 0.0631944444031 351.729384615 495 25648458.75
26173 0.0610879630549 442.821590909 495 32636296.3235
26174 0.0611111111939 450.25 495 31318549.3902
26175 0.0609837963711 452.510227273 495 30903844.0574
26176 0.0508564815391 366.764932432 404 19204527.2828
26177 0.00252314808313 463.225 21 1341968.25
26178 0.0612731481669 436.950752809 495 29076190.0
26179 0.0610416666605 451.3625 496 31933709.2174
26180 0.031388888834 454.426666667 255 16208620.25
26186 0.00706018519122 518.118181818 63 4518472.0
26187 0.00335648143664 517.66 29 2074488.0
26189 0.00660879630595 506.966666667 56 4016255.0
26190 0.00701388891321 505.02 59 4216945.98214
26191 0.00665509270038 487.7 56 3642495.65217
26192 0.00674768525641 469.22 57 3707838.0
26193 0.00665509258397 480.09 57 3979730.0
26194 0.00767361116596 442.990909091 63 3940220.45455
26196 0.00730324082542 436.246272727 61 3691311.07407
26197 0.0587962962454 459.890964706 493 31826813.7684
26198 0.0570601852378 472.87626506 494 32089503.7806
26199 0.00312499993015 450.92 25 1557701.0
26201 0.0356481481576 447.338039216 293 18260865.7262
26203 0.0606944444589 405.457806818 495 28374157.7308
26204 0.00725694443099 440.881818182 59 4112698.25
26205 0.00721064815298 449.481818182 59 3768690.21053
26206 0.0198263889179 323.150965517 154 7862656.57692
26207 0.00425925920717 439.9 34 2124700.07143
26208 0.0255324074533 450.186111111 206 13027492.3175
26210 0.0615162036847 425.089291011 495 30544083.0
26211 0.061319444445 432.366502247 495 31087701.9101
26212 0.00842592597473 450.166666667 68 4354509.2
26213 0.031296296278 452.086666667 254 15979402.9123
26214 0.00248842593282 442.125 20 1249530.0
26215 0.0615162036847 418.48312809 495 27833494.0449
26216 0.0610879629385 441.519318182 495 30893260.4237
26217 0.0097106480971 447.378571429 79 4970526.64706
26218 0.0611111110775 443.929545455 495 32255992.5728
26219 0.0352893518284 151.894194235 258 13448540.25
26264 0.0555671296315 419.80478875 449 28277827.0963
26276 0.00195601850282 475.666666667 16 964217.0
26279 0.00628472224344 455.411111111 50 3134329.16667
26280 0.00128472223878 466.55 10 644237.777778
26281 0.00655092601664 445.866666667 52 3228235.11111
26282 0.0275115740951 446.7775 222 13960480.0909
26286 0.00405092583969 454.25 33 2072186.0
26287 0.00123842596076 488.15 10 617388.0
26294 0.0625462963944 377.883989333 494 27248897.5
26295 0.00241898139939 458.45 20 1240360.0
26296 0.0623148147715 401.220661111 494 31995520.25
26297 0.0616898149019 427.152134831 494 29364757.9149
26298 0.061458333279 440.323863636 494 32050399.4255
26299 0.0620717592537 402.220442697 494 30888424.9074
26300 0.0615162036847 444.667078652 494 31455008.9286
26301 0.0613541667117 444.553409091 493 31825322.6903
26302 0.0312615740113 327.516796867 239 14790869.5167
26303 0.0604166666744 436.663908046 488 31726437.696
26304 0.0618749998976 431.950955056 493 31768760.3957
26305 0.0625578704057 395.568042222 493 32006600.7778
26306 0.0626967592398 383.037314444 493 29987186.448
26307 0.0335995370988 450.4125 270 17743820.4878
26308 0.0122453704244 344.010594118 100 6281828.81356
26313 0.0105555555783 436.0875 85 5154750.0
26314 0.00958333339076 432.05 77 5104320.375
26316 0.0332523147808 451.970833333 269 16764850.3182
26317 0.0612615740392 447.353932584 495 31263289.2
26318 0.010057870415 447.54 81 5173954.3125
26319 0.0225578703685 453.436363636 182 11590614.9767
26320 0.0611458333442 453.541573034 495 31547264.6026
26321 0.0619560184423 403.111879438 495 30414653.1818
26322 0.0615624999627 429.563555568 495 31956440.777
26323 0.0201736111194 456.182758621 164 10676839.8182
26326 0.00189814821351 461.166666667 16 997031.384615
26327 0.00872685178183 443.35 71 4452044.35
26328 0.0202430556528 451.831034483 165 10117201.875
26329 0.0155671297107 454.656521739 127 8814292.5122
26330 0.00210648146458 526.3 18 783661.5
26333 0.00817129632924 451.358333333 67 4314778.3871
26335 0.00216435187031 450.0 18 1171596.0
26338 0.00163194444031 570.8 14 889263.0
26339 0.06356481486 425.871106522 496 31601720.3333
26340 0.0628240741789 443.414285714 496 31583116.0
26341 0.0139930555597 438.225 110 6916328.15789
26343 0.00556712958496 353.090755556 48 3262400.0
26344 0.00629629637115 475.488888889 54 3980659.5
26347 0.00723379629198 435.527272727 59 3716918.47273
26348 0.00769675930496 249.663636364 57 3545960.5
26349 0.0037384260213 432.7 30 2082072.0
26350 0.00729166669771 429.42 58 3473270.29412
26351 0.0073148147203 450.19 59 3989111.6875
26352 0.00729166669771 374.454545455 58 3613449.71429
26353 0.00730324082542 450.38 58 3877458.32432
26354 0.00733796297573 459.418181818 59 3898638.52381
26355 0.00247685180511 447.433333333 20 981388.0
26356 0.00515046285 443.014285714 41 3024488.0
26357 0.00719907402527 432.5 58 3771157.0
26358 0.0131597223226 115.239884842 95 3746705.0
26359 0.0267013888806 284.174439474 201 7934804.22414
26360 0.0447337963851 105.217403391 313 3984547.21505
26361 0.0612962961895 410.695524719 494 30653082.4516
26362 0.0013194445055 430.7 11 787464.333333
26363 0.00119212956633 444.95 10 661060.0
26364 0.00666666671168 413.28 53 3110996.94444
26366 0.0617129630409 418.904446067 494 29615673.8378
26367 0.0316782407463 442.98 255 15813612.5
26368 0.059745370294 429.973255814 480 30536257.7986
26370 0.0619097221643 419.219807865 495 30938793.6
26373 0.0075578703545 225.877372727 57 2851528.5
26374 0.0578356480692 436.923809524 467 29777012.6038
26379 0.0193981481716 449.846428571 158 10019203.1494
26380 0.0152777776821 443.559090909 123 7960034.23529
26381 0.0029745369684 461.42 25 1549600.0
26383 0.0622337962268 384.933459326 495 29131289.7097
26384 0.00278935185634 445.875 23 1639135.25
26385 0.00873842590954 345.503846154 64 3999117.91304
26473 0.0641435184516 224.799560207 495 22987183.4211
26474 0.0605208333582 370.364367816 493 24518497.18
26475 0.0595370370429 372.620577791 494 24775484.4198
26476 0.0190393518424 399.440740741 152 6606051.73333
26477 0.0178819444263 380.872 143 11209950.18
26478 0.060763888876 413.6 495 39041175.0122
26482 0.0373032407369 416.053703704 306 24728303.5751
26483 0.0138194444589 407.994736842 104 8400279.60909
26486 0.0618402777473 365.692149955 495 39001208.602
26487 0.0577430555131 437.803614458 495 43877522.8922
26488 0.0271759260213 418.007692308 223 19803460.6734
26491 0.0617592592025 376.621910112 495 29699122.5
26492 0.0605324073695 413.931034483 495 29446427.6733
